Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,As
Rakan,6,3.5%,-,6,5,3,3,50%,0.33,3.17,9,2.95,49.17,1.29,8.7,228,4.1k,108,84.8%,3%,12.7%,
Renata,Glasc,6,3.5%,3,3,3,1,2,33.3%,0.67,4,6,1.67,25,0.69,8.5,236,5.9k,163,62.5%,6.3%,13.4%
Tristana,5,2.9%,1,4,3,3,1,75%,4,2,2.75,3.38,302.5,9.91,14.9,487,16.1k,527,60%,35.6%,25.3%,
Ziggs,5,2.9%,2,3,3,1,2,33.3%,1.33,2,6,3.67,346.67,9.2,14.8,392,26.8k,712,68.8%,12.5%,22.4%,
Corki,4,2.4%,-,4,4,2,2,50%,2.5,2,3.75,3.13,302.25,9.71,13.7,439,21.5k,690,48.1%,19.2%,23.6%,
Jinx,4,2.4%,-,4,4,1,3,25%,1,2,1.75,1.38,310.75,10.42,12,402,13.9k,466,78.6%,28.6%,25.2%,
Twitch,4,2.4%,2,2,2,0,2,0%,2,5,1.5,0.7,27.5,0.89,7.6,244,10.1k,325,63.6%,36.4%,15%,
Thresh,3,1.8%,-,3,2,3,0,100%,0.67,0.33,6.33,21,30.67,1.27,6.7,276,2.9k,120,58.3%,5.6%,13.6%,
Twisted,Fate,3,1.8%,-,3,1,3,0,100%,1.67,0.33,6.67,25,263.67,7.9,13.9,416,12.3k,369,62.5%,12.5%,21.7%
Orianna,3,1.8%,-,3,3,1,2,33.3%,2.33,2.33,4.67,3,333.67,8.61,14.8,383,20k,515,65.6%,21.9%,21.5%,
Gangplank,3,1.8%,1,2,2,2,0,100%,6,2.5,8,5.6,431,9.59,22.4,498,37.4k,833,63.6%,27.3%,25.7%,
Yasuo,3,1.8%,1,2,1,1,1,50%,3.5,2.5,2,2.2,287.5,10.58,12.2,449,11.3k,416,40.7%,25.9%,23.9%,
Poppy,3,1.8%,2,1,1,0,1,0%,0,5,5,1,197,4.48,11.5,263,7.3k,166,45.5%,0%,15.4%,
Pyke,3,1.8%,2,1,1,0,1,0%,0,3,2,0.67,40,1.29,6.8,220,2.6k,84,66.7%,0%,14%,
Sona,2,1.2%,-,2,2,1,1,50%,2.5,1.5,6.5,6,10.5,0.38,7.6,274,6.3k,227,75%,20.8%,15.3%,
Aatrox,2,1.2%,-,2,2,0,2,0%,4,2,2,3,350.5,8.96,16.1,411,23.4k,599,44.4%,29.6%,23.2%,
Swain,2,1.2%,-,2,2,0,2,0%,0,4,1,0.25,253.5,7.61,10.5,316,20.2k,605,28.6%,0%,20.3%,
Tahm,Kench,2,1.2%,-,2,2,0,2,0%,0,3,1,0.33,31,1.03,5.9,198,2.4k,80,50%,0%,12.9%
Sett,2,1.2%,1,1,1,1,0,100%,0,0,8,8,185,7.17,9.1,351,6.9k,267,66.7%,0%,17.2%,
Alistar,2,1.2%,1,1,1,0,1,0%,1,2,3,2,31,1.04,6.5,219,2k,68,57.1%,14.3%,13.5%,
Aurelion,Sol,2,1.2%,1,1,1,0,1,0%,2,1,3,5,304,10.23,13.5,454,25.3k,851,100%,40%,26.8%
Galio,2,1.2%,1,1,1,0,1,0%,0,2,3,1.5,214,8.23,8.4,323,7.3k,280,100%,0%,19.8%,
Zoe,2,1.2%,1,1,1,0,1,0%,2,3,5,2.33,214,7.42,10.5,366,20.4k,706,58.3%,16.7%,21.5%,
Samira,2,1.2%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tryndamere,2,1.2%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Braum,1,0.6%,-,1,1,1,0,100%,2,1,10,12,34,1.43,6.9,292,4.7k,199,75%,12.5%,14.4%,
Cho'Gath,1,0.6%,-,1,1,1,0,100%,1,3,7,2.67,297,7.85,14.4,381,15.1k,399,40%,5%,21.1%,
Kennen,1,0.6%,-,1,1,1,0,100%,1,1,2,3,274,10.62,12.4,480,17.3k,669,25%,8.3%,23.4%,
Lillia,1,0.6%,-,1,1,1,0,100%,6,1,5,11,259,6.79,15.2,399,19.4k,509,78.6%,42.9%,21.2%,
Rell,1,0.6%,-,1,1,1,0,100%,0,2,7,3.5,52,1.59,8,243,2.1k,65,63.6%,0%,12.9%,
Singed,1,0.6%,-,1,1,1,0,100%,0,3,9,3,35,1.11,7.5,238,3.1k,97,50%,0%,11.4%,
Zac,1,0.6%,-,1,1,1,0,100%,0,1,4,4,170,5.54,9.6,314,3.6k,116,33.3%,0%,15.8%,
Cassiopeia,1,0.6%,-,1,1,0,1,0%,0,3,0,0,310,9.61,11.4,354,13.3k,414,0%,0%,22.9%,
Graves,1,0.6%,-,1,1,0,1,0%,0,2,6,3,170,6.21,8.9,324,9.9k,361,75%,0%,20.2%,
Kindred,1,0.6%,-,1,1,0,1,0%,0,2,1,0.5,183,5.9,9.3,300,8k,259,100%,0%,19%,
Nocturne,1,0.6%,-,1,1,0,1,0%,1,3,0,0.33,194,6.02,9.8,303,4.5k,140,33.3%,33.3%,18.4%,
Urgot,1,0.6%,-,1,1,0,1,0%,3,4,3,1.5,310,9.62,13.2,410,17.7k,550,100%,50%,24.5%,
